ID,Downloaded,Spotify,Remake,Remake ID,Year,Rating,Song,Artists,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Artist 11,Christmas
250,,,,,1987,3,Bad Boys,Inner Circle,Inner Circle,,,,,,,,,,,
251,,,,,2005,3,Bad Day,Daniel Powter,Daniel Powter,,,,,,,,,,,
252,,,,,2009,3,Bad Girlfriend,Theory of a Deadman,Theory of a Deadman,,,,,,,,,,,
253,,,,,2019,3,Bad Idea (feat. Chance the Rapper),"YBN Cordae, Chance the Rapper",YBN Cordae,Chance the Rapper,,,,,,,,,,
254,,,,,1969,4,Bad Moon Rising,Creedence Clearwater Revival,Creedence Clearwater Revival,,,,,,,,,,,
255,,,,,2011,2,Bad Pitched,Insan3lik3,Insan3lik3,,,,,,,,,,,
256,,,,,1981,4,Bad Reputation,Joan Jett & The Blackhearts,Joan Jett & The Blackhearts,,,,,,,,,,,
257,,,,,2009,4,Bad Romance,Lady Gaga,Lady Gaga,,,,,,,,,,,
258,,,,,1982,4,Bad To The Bone,George Thorogood & The Destroyers,George Thorogood & The Destroyers,,,,,,,,,,,
259,,,,,2016,4,Bad Water,"AronChupa, J & The People",AronChupa,J & The People,,,,,,,,,,
260,,,,,2000,2,Badaboom (feat. Fabolous),"B2K, Fabolous",B2K,Fabolous,,,,,,,,,,
261,,,,,2021,2,BADASS (with Lil Uzi Vert),"ZillaKami, Lil Uzi Vert",ZillaKami,Lil Uzi Vert,,,,,,,,,,
262,,,,,2014,2,Bailando,"Enrique Iglesias, Sean Paul, Descemer Bueno, Gente De Zona",Enrique Iglesias,Sean Paul,Descemer Bueno,Gente De Zona,,,,,,,,
263,,,,,2017,5,Bailar (feat. Elvis Crespo),"Deorro, Elvis Crespo",Deorro,Elvis Crespo,,,,,,,,,,
264,,,,,2016,2,Bake Sale (feat. Travis Scott),"Wiz Khalifa, Travis Scott",Wiz Khalifa,Travis Scott,,,,,,,,,,
265,,,,,2003,4,Ball and Biscuit,The White Stripes,The White Stripes,,,,,,,,,,,
266,,,,,2018,2,Ball For Me (feat. Nicki Minaj),"Post Malone, Nicki Minaj",Post Malone,Nicki Minaj,,,,,,,,,,
267,No,No,,,2013,4,Ballin,"Logic, Castro",Logic,Castro,,,,,,,,,,
268,,,,,2013,3,Ballin,Logic,Logic,,,,,,,,,,,
269,,,,,1982,4,Bam Bam,Sister Nancy,Sister Nancy,,,,,,,,,,,
270,,,,,1988,5,Bamboléo,Gipsy Kings,Gipsy Kings,,,,,,,,,,,
271,,,,,2021,3,Banana - BRANDON Remix,"David Puentez, BRANDON",David Puentez,BRANDON,,,,,,,,,,
272,,,,,2005,3,Banana Pancakes,Jack Johnson,Jack Johnson,,,,,,,,,,,
273,,,,,2003,4,Bananza (Belly Dancer),Akon,Akon,,,,,,,,,,,
274,,,,,1971,5,Bang a Gong (Get It On),T. Rex,T. Rex,,,,,,,,,,,
275,,,,,2014,3,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",Jessie J,Ariana Grande,Nicki Minaj,,,,,,,,,
276,,,,,2012,3,Bang It To The Curb,"Far East Movement, Sidney Samson",Far East Movement,Sidney Samson,,,,,,,,,,
277,,,,,2011,2,Bangarang (feat. Sirah),"Skrillex, Sirah",Skrillex,Sirah,,,,,,,,,,
278,,,,,2005,4,Banquet,Bloc Party,Bloc Party,,,,,,,,,,,
279,,,,,1965,5,Barbara Ann,The Beach Boys,The Beach Boys,,,,,,,,,,,
280,,,,,1997,4,Barbie Girl,Aqua,Aqua,,,,,,,,,,,
281,,,,,2020,4,Barbie Girl,LILO,LILO,,,,,,,,,,,
282,,,,,2010,3,Barbra Streisand,"Duck Sauce, A-Trak, Armand Van Helden",Duck Sauce,A-Trak,Armand Van Helden,,,,,,,,,
283,,,,,2017,3,Bartier Cardi (feat. 21 Savage),"Cardi B, 21 Savage",Cardi B,21 Savage,,,,,,,,,,
284,,,,,2011,3,Barton Hollow,The Civil Wars,The Civil Wars,,,,,,,,,,,
285,,,,,1994,3,Basket Case,Green Day,Green Day,,,,,,,,,,,
286,,,,,2010,2,Bass Down Low,"DEV, The Cataracs",DEV,The Cataracs,,,,,,,,,,
287,,,,,2010,2,Bass Down Low (Remix),"DEV, NK",DEV,NK,,,,,,,,,,
288,,,,,2016,3,Bass Inside,AC Slater,AC Slater,,,,,,,,,,,
289,,,,,2012,2,Battle Scars,"Lupe Fiasco, Guy Sebastian",Lupe Fiasco,Guy Sebastian,,,,,,,,,,
290,,,,,2013,3,BBC,JAY-Z,JAY-Z,,,,,,,,,,,
291,,,,,2008,4,Be Faithful,"Fatman Scoop, The Crooklyn Clan",Fatman Scoop,The Crooklyn Clan,,,,,,,,,,
292,,,,,2020,2,Be Like That (feat. Swae Lee & Khalid),"Kane Brown, Swae Lee, Khalid",Kane Brown,Swae Lee,Khalid,,,,,,,,,
293,,,,,2015,4,Be Real (feat. DeJ Loaf),"Kid Ink, DeJ Loaf",Kid Ink,DeJ Loaf,,,,,,,,,,
294,,,,,2012,2,Be Somebody,Thousand Foot Krutch,Thousand Foot Krutch,,,,,,,,,,,
295,,,,,2019,2,Be Somebody (feat. Kiiara) - Tyron Hapi Remix,"Steve Aoki, Nicky Romero, Kiiara, Tyron Hapi",Steve Aoki,Nicky Romero,Kiiara,Tyron Hapi,,,,,,,,
296,,,,,2015,2,Be Together (feat. Wild Belle),"Major Lazer, Wild Belle",Major Lazer,Wild Belle,,,,,,,,,,
297,,,,,2005,4,Be Yourself,Audioslave,Audioslave,,,,,,,,,,,
298,,,,,2006,3,Be Yourself (and 5 Other Cliches) - New Album Version,Rock Star Supernova,Rock Star Supernova,,,,,,,,,,,
299,,,,,2013,3,Beam,"Mako, Angel Taylor",Mako,Angel Taylor,,,,,,,,,,
300,,,,,2014,4,Beam Me Up,CAZZETTE,CAZZETTE,,,,,,,,,,,
301,,,,,2011,3,"Beamer, Benz or Bentley",Evil Empire,Evil Empire,,,,,,,,,,,
302,,,,,2010,3,"Beamer, Benz, Or Bentley","Lloyd Banks, Juelz Santana",Lloyd Banks,Juelz Santana,,,,,,,,,,
303,,,,,1982,5,Beat It - Single Version,Michael Jackson,Michael Jackson,,,,,,,,,,,
304,,,,,2002,3,Beautiful,Christina Aguilera,Christina Aguilera,,,,,,,,,,,
305,,,,,2018,3,Beautiful (Feat. Camila Cabello),"Bazzi, Camila Cabello",Bazzi,Camila Cabello,,,,,,,,,,
306,,,,,2000,3,Beautiful Day,U2,U2,,,,,,,,,,,
307,,,,,2007,3,Beautiful Girls,Sean Kingston,Sean Kingston,,,,,,,,,,,
308,,,,,1995,3,Beautiful Life,Ace of Base,Ace of Base,,,,,,,,,,,
309,,,,,2012,3,Beauty And A Beat,"Justin Bieber, Nicki Minaj",Justin Bieber,Nicki Minaj,,,,,,,,,,
310,,,,,1969,3,Because,The Beatles,The Beatles,,,,,,,,,,,
311,,,,,2000,2,Because I Got High,Afroman,Afroman,,,,,,,,,,,
312,,,,,2004,3,Because of You,Kelly Clarkson,Kelly Clarkson,,,,,,,,,,,
313,,,,,2009,4,BedRock,"Young Money, Lloyd",Young Money,Lloyd,,,,,,,,,,
314,,,,,2011,3,Beez In The Trap,"Nicki Minaj, 2 Chainz",Nicki Minaj,2 Chainz,,,,,,,,,,
315,,,,,2005,4,Before He Cheats,Carrie Underwood,Carrie Underwood,,,,,,,,,,,
316,,,,,2019,4,Before You Go,Lewis Capaldi,Lewis Capaldi,,,,,,,,,,,
317,,,,,2009,3,Beggin',Madcon,Madcon,,,,,,,,,,,
318,,,,,1998,2,Believe,Cher,Cher,,,,,,,,,,,
319,,,,,2012,3,Believe It (feat. Rick Ross),"Meek Mill, Rick Ross",Meek Mill,Rick Ross,,,,,,,,,,
320,,,,,2014,2,Believe Me,"Lil Wayne, Drake",Lil Wayne,Drake,,,,,,,,,,
321,,,,,2005,4,Believe Me (feat. Bobo & Styles of Beyond),"Fort Minor, Bobo, Styles Of Beyond",Fort Minor,Bobo,Styles Of Beyond,,,,,,,,,
322,,,,,2016,3,Believer,"Major Lazer, Showtek",Major Lazer,Showtek,,,,,,,,,,
323,,,,,2017,2,Believer,Imagine Dragons,Imagine Dragons,,,,,,,,,,,
324,,,,,2014,2,Bend Ova (Feat. Tyga),"Lil Jon, Tyga",Lil Jon,Tyga,,,,,,,,,,
325,,,,,2013,2,Berzerk,Eminem,Eminem,,,,,,,,,,,
326,,,,,2014,3,Best Day Of My Life,American Authors,American Authors,,,,,,,,,,,
327,,,,,2018,4,Best Friend,"Sofi Tukker, NERVO, The Knocks, ALISA UENO",Sofi Tukker,NERVO,The Knocks,ALISA UENO,,,,,,,,
328,,,,,2020,3,Best Friend,Marcus Layton,Marcus Layton,,,,,,,,,,,
329,,,,,2007,4,Best of Me,Sum 41,Sum 41,,,,,,,,,,,
330,,,,,2013,2,Best Of Me,A Day To Remember,A Day To Remember,,,,,,,,,,,
331,,,,,2005,3,Best of You,Foo Fighters,Foo Fighters,,,,,,,,,,,
332,,,,,2018,4,Better,Khalid,Khalid,,,,,,,,,,,
333,,,,,2017,3,Better Days,Hedley,Hedley,,,,,,,,,,,
334,,,,,2018,4,Better Not (feat. Wafia),"Louis The Child, Wafia",Louis The Child,Wafia,,,,,,,,,,
335,,,,,2018,3,Better Now,Post Malone,Post Malone,,,,,,,,,,,
336,,,,,2000,4,Better Off Alone,Alice DJ,Alice DJ,,,,,,,,,,,
337,,,,,2000,4,Better Off Alone,"Koosen, Strange Fruits Music",Koosen,Strange Fruits Music,,,,,,,,,,
338,,,,,2005,2,Better Than Me,Hinder,Hinder,,,,,,,,,,,
339,,,,,2018,3,Better To Lie (with Jesse & Swae Lee),"benny blanco, Jesse, Swae Lee",benny blanco,Jesse,Swae Lee,,,,,,,,,
340,,,,,2005,2,Better Together,Jack Johnson,Jack Johnson,,,,,,,,,,,
341,,,,,2019,3,Better When You're Gone,"David Guetta, Brooks, Loote",David Guetta,Brooks,Loote,,,,,,,,,
342,,,,,2001,3,Between Angels And Insects,Papa Roach,Papa Roach,,,,,,,,,,,
343,,,,,2021,4,Between Our Hearts (Daniel Blume Remix),"Cheat Codes, CXLOE, Daniel Blume",Cheat Codes,CXLOE,Daniel Blume,,,,,,,,,
344,,,,,2020,3,Between Our Hearts (feat. CXLOE),"Cheat Codes, XLOE",Cheat Codes,XLOE,,,,,,,,,,
345,,,,,2005,4,Beverly Hills,Weezer,Weezer,,,,,,,,,,,
346,,,,,2013,4,Beware,"Big Sean, Jhene Aiko",Big Sean,Jhene Aiko,,,,,,,,,,
347,,,,,2021,4,Big - Acoustic,"Rita Ora, David Guetta, Imanbek",Rita Ora,David Guetta,Imanbek,,,,,,,,,
348,,,,,2018,2,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj","YG, 2 Chainz, Big Sean, Nicki Minaj",YG,2 Chainz,Big Sean,Nicki Minaj,,,,,,,,
349,,,,,2020,3,BIG BOY TIME,MadBliss,MadBliss,,,,,,,,,,,
350,,,,,2020,3,Big Jet Plane,Braaten Victor Perry,Braaten Victor Perry,,,,,,,,,,,
351,,,,,2010,2,Big Jet Plane,Angus & Julia Stone,Angus & Julia Stone,,,,,,,,,,,
352,,,,,1999,4,Big Pimpin',"JAY-Z, UGK",JAY-Z,UGK,,,,,,,,,,
353,,,,,2015,4,Big Rings,"Drake, Future",Drake,Future,,,,,,,,,,
354,,,,,2013,2,Big Spender (feat. Troof),"C tha Future, Troof",C tha Future,Troof,,,,,,,,,,
355,,,,,2002,2,Big Yellow Taxi,"Counting Crows, Vanessa Carlton",Counting Crows,Vanessa Carlton,,,,,,,,,,
356,,,,,2018,2,Bigger Than You (feat. Drake & Quavo),"2 Chainz, Drake, Quavo",2 Chainz,Drake,Quavo,,,,,,,,,
357,,,,,1982,5,Billie Jean,Michael Jackson,Michael Jackson,,,,,,,,,,,
358,,,,,2010,4,Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",Travie McCoy,Bruno Mars,,,,,,,,,,
359,Yes,No,,,2015,3,Binary Sunset,DJ AG,DJ AG,,,,,,,,,,,
360,,,,,2016,3,Bird Song - Diplo Remix,M.I.A.,M.I.A.,,,,,,,,,,,
361,,,,,2013,2,Birthday,Katy Perry,Katy Perry,,,,,,,,,,,
362,,,,,2011,4,Birthday Cake,Rihanna,Rihanna,,,,,,,,,,,
363,,,,,2008,3,Birthright - Blue Stahli Remix,"Celldweller, Blue Stahli",Celldweller,Blue Stahli,,,,,,,,,,
364,,,,,2012,3,Bitch Came Back,Theory of a Deadman,Theory of a Deadman,,,,,,,,,,,
365,,,,,2005,3,Bitch Please,"Snoop Dogg, Xzibit",Snoop Dogg,Xzibit,,,,,,,,,,
366,,,,,2000,3,Bitch Please II,"Eminem, Dr. Dre, Snoop Dogg, Xzibit, Nate Dogg",Eminem,Dr. Dre,Snoop Dogg,Xzibit,Nate Dogg,,,,,,,
367,,,,,2012,3,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,Kendrick Lamar,,,,,,,,,,,
368,,,,,2008,2,Bitches,Hollywood Undead,Hollywood Undead,,,,,,,,,,,
369,,,,,2017,2,bitches,Tove Lo,Tove Lo,,,,,,,,,,,
370,,,,,2018,2,"bitches (feat. Charli XCX, Icona Pop, Elliphant, ALMA)","Tove Lo, Charli XCX, Icona Pop, Elliphant, ALMA",Tove Lo,Charli XCX,Icona Pop,Elliphant,ALMA,,,,,,,
371,,,,,1997,5,Bitter Sweet Symphony,The Verve,The Verve,,,,,,,,,,,
372,,,,,2011,3,Black and Yellow,Wiz Khalifa,Wiz Khalifa,,,,,,,,,,,
373,,,,,2016,2,Black Beatles,"Rae Sremmurd, Gucci Mane",Rae Sremmurd,Gucci Mane,,,,,,,,,,
374,,,,,2021,2,Black Beatles,"Gaullin, Tom Budin",Gaullin,Tom Budin,,,,,,,,,,
375,,,,,1977,2,Black Betty,Ram Jam,Ram Jam,,,,,,,,,,,
376,,,,,1971,4,Black Dog,Led Zeppelin,Led Zeppelin,,,,,,,,,,,
377,Yes,No,Yes,378,2017,5,Black Hole Sun,Nora Jones,Nora Jones,,,,,,,,,,,
378,,,,,1994,3,Black Hole Sun,Soundgarden,Soundgarden,,,,,,,,,,,
379,,,,,2017,5,Black Hole Sun (Detroit Fox Theatre 5.23.17),Nora Jones,Nora Jones,,,,,,,,,,,
380,,,,,2005,5,Black Horse And The Cherry Tree,KT Tunstall,KT Tunstall,,,,,,,,,,,
381,,,,,2010,4,Black Sheep,Metric,Metric,,,,,,,,,,,
382,,,,,2010,3,Black Sheep,The Evil Exes,The Evil Exes,,,,,,,,,,,
383,,,,,2013,4,Black Skinhead,Kanye West,Kanye West,,,,,,,,,,,
384,,,,,2014,4,Black Widow,"Iggy Azalea, Rita Ora",Iggy Azalea,Rita Ora,,,,,,,,,,
385,,,,,2019,2,Blah Blah Blah,Armin van Buuren,Armin van Buuren,,,,,,,,,,,
386,,,,,2014,3,Blame,"Calvin Harris, John Newman",Calvin Harris,John Newman,,,,,,,,,,
387,,,,,2019,3,Blanco,J Balvin,J Balvin,,,,,,,,,,,
388,,,,,2013,3,Blank,Disfigure,Disfigure,,,,,,,,,,,
389,,,,,2014,4,Blank Space,Taylor Swift,Taylor Swift,,,,,,,,,,,
390,,,,,2015,5,Blank Space/Stand By Me - Live From Spotify London,Imagine Dragons,Imagine Dragons,,,,,,,,,,,
391,,,,,2015,4,Blasé (feat. Future & Rae Sremmurd),"Ty Dolla $ign, Future, Rae Sremmurd",Ty Dolla $ign,Future,Rae Sremmurd,,,,,,,,,
392,,,,,2007,4,Bleed It Out,Linkin Park,Linkin Park,,,,,,,,,,,
393,,,,,2015,3,Blessings,"Big Sean, Drake",Big Sean,Drake,,,,,,,,,,
394,,,,,2015,3,Blessings,"Big Sean, Drake, Kanye West",Big Sean,Drake,Kanye West,,,,,,,,,
395,,,,,1976,2,Blinded By The Light,Manfred Mann's Earth Band,Manfred Mann's Earth Band,,,,,,,,,,,
396,,,,,2020,3,Blinding Lights,The Weeknd,The Weeknd,,,,,,,,,,,
397,,,,,1983,4,Blister In The Sun,Violent Femmes,Violent Femmes,,,,,,,,,,,
398,,,,,1976,3.5,Blitzkrieg Bop,Ramones,Ramones,,,,,,,,,,,
399,,,,,2012,4,Blood Dirt Love Stop,The Heavy,The Heavy,,,,,,,,,,,
400,,,,,2013,2,Blood On The Leaves,Kanye West,Kanye West,,,,,,,,,,,
401,,,,,1974,3,Bloody Well Right,Supertramp,Supertramp,,,,,,,,,,,
402,,,,,2017,3,Blossom,Milky Chance,Milky Chance,,,,,,,,,,,
403,,,,,2011,4,Blow Exxplode,Arion,Arion,,,,,,,,,,,
404,,,,,2004,4,Blow Me Away,Breaking Benjamin,Breaking Benjamin,,,,,,,,,,,
405,,,,,2011,5,Blow My High (Members Only),Kendrick Lamar,Kendrick Lamar,,,,,,,,,,,
406,,,,,2018,3,Blow That Smoke,"Major Lazer, Tove Lo",Major Lazer,Tove Lo,,,,,,,,,,
407,,,,,2017,2,Blow Your Mind (Mwah),Dua Lipa,Dua Lipa,,,,,,,,,,,
408,,,,,2020,2,BLUE - Acoustic,"Tiësto, Stevie Appleton",Tiësto,Stevie Appleton,,,,,,,,,,
409,,,,,1998,3,Blue (Da Ba Dee),"Eiffel 65, Gabry Ponte",Eiffel 65,Gabry Ponte,,,,,,,,,,
410,,,,,2016,3,Blue (Da Ba Dee) [Sound Of Legend Version Edit],Sound Of Legend,Sound Of Legend,,,,,,,,,,,
411,,,,,2012,3,Blue Jeans,Lana Del Rey,Lana Del Rey,,,,,,,,,,,
412,,,,,2015,2,Blue Skies - Revoke Remix,"Lenka, REVOKE",Lenka,REVOKE,,,,,,,,,,
413,,,,,1957,4,Blue Suede Shoes,Carl Perkins,Carl Perkins,,,,,,,,,,,
414,,,,,1956,4,Blue Suede Shoes,Elvis Presley,Elvis Presley,,,,,,,,,,,
415,,,,,2020,3,Blue World,Mac Miller,Mac Miller,,,,,,,,,,,
416,,,,,2020,2,Blueberry Eyes (feat. SUGA of BTS),"MAX, SUGA",MAX,SUGA,,,,,,,,,,
417,,,,,2013,4,Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",Robin Thicke,T.I.,Pharrell Williams,,,,,,,,,
418,,,,,2001,2,Blurry,Puddle Of Mudd,Puddle Of Mudd,,,,,,,,,,,
419,,,,,2017,4,Bodak Yellow,Cardi B,Cardi B,,,,,,,,,,,
420,,,,,2001,3,Bodies,Drowning Pool,Drowning Pool,,,,,,,,,,,
421,,,,,2018,4,Body (feat. brando),"Loud Luxury, Brando",Loud Luxury,Brando,,,,,,,,,,
422,,,,,2017,5,Body Like A Back Road,Sam Hunt,Sam Hunt,,,,,,,,,,,
423,,,,,1998,3,Body Movin',Beastie Boys,Beastie Boys,,,,,,,,,,,
424,,,,,2016,3,Body Say,Demi Lovato,Demi Lovato,,,,,,,,,,,
425,,,,,2019,4,Bohemian Rhapsody,40 Fingers,40 Fingers,,,,,,,,,,,
426,,,,,1975,4,Bohemian Rhapsody,Queen,Queen,,,,,,,,,,,
427,,,,,2016,4,Bonbon,Era Istrefi,Era Istrefi,,,,,,,,,,,
428,,,,,2016,4,Bonbon - English Version,Era Istrefi,Era Istrefi,,,,,,,,,,,
429,,,,,2013,2,Boneless,"Steve Aoki, Chris Lake, Tujamo",Steve Aoki,Chris Lake,Tujamo,,,,,,,,,
430,,,,,2019,2,Boneshaker,Airbourne,Airbourne,,,,,,,,,,,
431,,,,,2011,2,Bonfire,Childish Gambino,Childish Gambino,,,,,,,,,,,
432,,,,,2011,3,Bonkers,"Dizzee Rascal, Armand Van Helden",Dizzee Rascal,Armand Van Helden,,,,,,,,,,
433,,,,,1979,4,Boogie Wonderland,"Earth, Wind & Fire, The Emotions","Earth, Wind & Fire",The Emotions,,,,,,,,,,
434,,,,,1998,4,"Boom, Boom, Boom, Boom!!",Vengaboys,Vengaboys,,,,,,,,,,,
435,,,,,2013,3,Booyah,"Showtek, We Are Loud, Sonny Wilson",Showtek,We Are Loud,Sonny Wilson,,,,,,,,,
436,,,,,2020,3,Born Again,Tchami,Tchami,,,,,,,,,,,
437,,,,,1984,2,Born in the U.S.A.,Bruce Springsteen,Bruce Springsteen,,,,,,,,,,,
438,,,,,1968,3,Born To Be Wild,Steppenwolf,Steppenwolf,,,,,,,,,,,
439,,,,,2018,4,Born To Be Yours,"Kygo, Imagine Dragons",Kygo,Imagine Dragons,,,,,,,,,,
440,,,,,2018,3,Borrowed Love (Feat. Swae Lee & WizKid),"Metro Boomin, Swae Lee, WizKid",Metro Boomin,Swae Lee,WizKid,,,,,,,,,
441,,,,,2014,3,Boss Mode,Knife Party,Knife Party,,,,,,,,,,,
442,,,,,2016,2,Both (feat. Drake),"Gucci Mane, Drake",Gucci Mane,Drake,,,,,,,,,,
443,,,,,2016,3,Both of Us,"Yellow Claw, STORi",Yellow Claw,STORi,,,,,,,,,,
444,,,,,2012,3,Both of Us (Feat. Taylor Swift),"B.o.B, Taylor Swift",B.o.B,Taylor Swift,,,,,,,,,,
445,,,,,2015,3,Bottom of the Bottle (feat. August Alsina & Lil Wayne),"Curren$y, August Alsina, Lil Wayne",Curren$y,August Alsina,Lil Wayne,,,,,,,,,
446,,,,,2004,3,Boulevard of Broken Dreams,Green Day,Green Day,,,,,,,,,,,
447,,,,,2012,3,Bounce (feat. Kelis),"Calvin Harris, Kelis",Calvin Harris,Kelis,,,,,,,,,,
448,,,,,2017,3,Bounce Back,Big Sean,Big Sean,,,,,,,,,,,
449,,,,,2019,3,BOY BYE,BROCKHAMPTON,BROCKHAMPTON,,,,,,,,,,,
450,,,,,2013,4,Boy Division,My Chemical Romance,My Chemical Romance,,,,,,,,,,,
451,No,No,,,2014,4,Boy Oh Boy,"Diplo, GTA, Missy Elliot",Diplo,GTA,Missy Elliot,,,,,,,,,
452,,,,,2014,3,Boy Oh Boy,"Diplo, GTA",Diplo,GTA,,,,,,,,,,
453,,,,,2020,4,BOYFREN,LoveLeo,LoveLeo,,,,,,,,,,,
454,,,,,2019,3,Boys,Lizzo,Lizzo,,,,,,,,,,,
455,,,,,1995,5,Brain Stew,Green Day,Green Day,,,,,,,,,,,
456,,,,,1995,5,Brain Stew - Live in Prague,Green Day,Green Day,,,,,,,,,,,
457,,,,,2009,2,Break,Three Days Grace,Three Days Grace,,,,,,,,,,,
458,,,,,2014,4,Break Free,"Ariana Grande, Zedd",Ariana Grande,Zedd,,,,,,,,,,
459,,,,,2020,4,Break My Heart,Dua Lipa,Dua Lipa,,,,,,,,,,,
460,,,,,1983,3,Break My Stride,Matthew Wilder,Matthew Wilder,,,,,,,,,,,
461,,,,,1967,3,Break on Through (To the Other Side),The Doors,The Doors,,,,,,,,,,,
462,,,,,2005,3,Break Stuff,Limp Bizkit,Limp Bizkit,,,,,,,,,,,
463,,,,,2014,2.5,Break The Bank,ScHoolboy Q,ScHoolboy Q,,,,,,,,,,,
464,,,,,2019,4,"break up with your girlfriend, i'm bored",Ariana Grande,Ariana Grande,,,,,,,,,,,
465,,,,,2001,3,Break Ya Neck,Busta Rhymes,Busta Rhymes,,,,,,,,,,,
466,,,,,2010,3,Break Your Heart,"Taio Cruz, Ludacris",Taio Cruz,Ludacris,,,,,,,,,,
467,,,,,2004,3,Breakaway,Kelly Clarkson,Kelly Clarkson,,,,,,,,,,,
468,,,,,1979,3,Breakfast In America,Supertramp,Supertramp,,,,,,,,,,,
469,,,,,2019,4,Breaking Me,Topic A7S,Topic A7S,,,,,,,,,,,
470,,,,,2003,5,Breaking the Habit,Linkin Park,Linkin Park,,,,,,,,,,,
471,,,,,2005,3,Breath (2 AM),Anna Nalick,Anna Nalick,,,,,,,,,,,
472,,,,,2019,4,Breathe,"88rising, Joji, Don Krez",88rising,Joji,Don Krez,,,,,,,,,
473,,,,,2003,2,Breathe (Feat. Sean Paul),"Blu Cantrell, Sean Paul",Blu Cantrell,Sean Paul,,,,,,,,,,
474,,,,,1973,5,Breathe (In the Air),Pink Floyd,Pink Floyd,,,,,,,,,,,
475,,,,,2006,5,Breathe Into Me,Red,Red,,,,,,,,,,,
476,,,,,2000,3,Breathless,The Corrs,The Corrs,,,,,,,,,,,
477,,,,,2012,3,Breezeblocks,alt-J,alt-J,,,,,,,,,,,
478,,,,,2015,3,Bricks (feat. Migos),"Carnage, Migos",Carnage,Migos,,,,,,,,,,
479,,,,,2004,3,Bring Em Out,T.I.,T.I.,,,,,,,,,,,
480,,,,,2003,4,Bring Me To Life,Evanescence,Evanescence,,,,,,,,,,,
481,,,,,2016,3,Broccoli (Feat. Lil Yachty),"DRAM, Lil Yachty",DRAM,Lil Yachty,,,,,,,,,,
482,,,,,2018,4,broken,lovelytheband,lovelytheband,,,,,,,,,,,
483,,,,,2013,4,Broken,"Seether, Amy Lee",Seether,Amy Lee,,,,,,,,,,
484,,,,,2021,2,Broken As Me (feat. Danny Worsnop of Asking Alexandria),"Papa Roach, Asking Alexandria",Papa Roach,Asking Alexandria,,,,,,,,,,
485,,,,,2016,2,Broken Bones,KALEO,KALEO,,,,,,,,,,,
486,,,,,2018,3,Brooklyn In The Summer,Aloe Blacc,Aloe Blacc,,,,,,,,,,,
487,,,,,2002,5,Brother Down,Sam Roberts Band,Sam Roberts Band,,,,,,,,,,,
488,,,,,1967,4,Brown Eyed Girl,Van Morrison,Van Morrison,,,,,,,,,,,
489,,,,,1971,3,Brown Sugar,The Rolling Stones,The Rolling Stones,,,,,,,,,,,
490,,,,,2018,2,Bruises,Fox Stevenson,Fox Stevenson,,,,,,,,,,,
491,,,,,2015,4,Bruk Bruk (I Need Your Lovin),Dillon Francis,Dillon Francis,,,,,,,,,,,
492,No,No,Yes,371,2003,5,Brush Your Bittersweet Shoulders Off,"The Verve, JAY-Z",The Verve,JAY-Z,,,,,,,,,,
493,,,,,2018,4,Brxnks Truck (feat. Rae Sremmurd),"Rae Sremmurd, Swae Lee, Slim Jxmmi",Rae Sremmurd,Swae Lee,Slim Jxmmi,,,,,,,,,
494,,,,,2013,3,Bubble Butt,"Major Lazer, Bruno Mars, Tyga, Mystic",Major Lazer,Bruno Mars,Tyga,Mystic,,,,,,,,
495,,,,,2013,3,Bubble Butt - Remix,"Major Lazer, Bruno Mars, 2 Chainz, Tyga, Mystic",Major Lazer,Bruno Mars,2 Chainz,Tyga,Mystic,,,,,,,
496,,,,,2018,3,Bubblin (Feat. Busta Rhymes) - Remix,"Anderson .Paak, Busta Rhymes",Anderson .Paak,Busta Rhymes,,,,,,,,,,
497,,,,,2007,4,Bubbly,Colbie Caillat,Colbie Caillat,,,,,,,,,,,
498,,,,,2018,2,Buck Shots,A$AP Rocky,A$AP Rocky,,,,,,,,,,,
499,,,,,2018,4,Buckets (feat. Future) - From SR3MM,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Future",Rae Sremmurd,Swae Lee,Slim Jxmmi,Future,,,,,,,,
500,,,,,2014,4,Budapest,George Ezra,George Ezra,,,,,,,,,,,
501,,,,,1994,3,Buddy Holly,Weezer,Weezer,,,,,,,,,,,
502,,,,,1983,4,Buffalo Soldier,Bob Marley & The Wailers,Bob Marley & The Wailers,,,,,,,,,,,
503,,,,,2013,3,Bugatti,"Ace Hood, Future, Rick Ross",Ace Hood,Future,Rick Ross,,,,,,,,,
504,,,,,2011,5,Bullet,Hollywood Undead,Hollywood Undead,,,,,,,,,,,
505,,,,,2021,3,Bulletproof,"La Roux, GAMPER & DADONI",La Roux,GAMPER & DADONI,,,,,,,,,,
506,,,,,2009,2,Bulletproof,La Roux,La Roux,,,,,,,,,,,
507,,,,,2010,3,Bulletproof Heart,My Chemical Romance,My Chemical Romance,,,,,,,,,,,
